BookId,CollectionURL,Title,Keyword,Description,LanguageId,Subject_0,Author_0,Author_1,Author_2,Publisher,ExternalPublisher,CollectionType,PublicationYear,PublishYear,Subject_1,PublisherCity,Location_0,Location_1,Location_2,Location_3,SubjectId_0,PublisherId
D10D3878-3578-455B-9196-231090D252AF,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/D10D3878-3578-455B-9196-231090D252AF.png,ESL (ELL) Literacy Instruction: A Guidebook to Theory and Practice,Print; Digital Literacy,"Now in its fourth edition, ESL (ELL) Literacy Instruction combines a comprehensive scope with practical, research-based tools and applications for reading instruction. Designed for use by pre-service and in-service teachers, this guidebook provides the context and expertise to plan and implement reading programs that match the needs and abilities of students at all ages and levels of proficiency. The book explains different models of literacy instruction from systematic phonics to whole language instruction, discusses controversies in the field, and includes specific teaching methods within each model. The fourth edition highlights recent developments in education policy, new models of instruction, and devotes greater attention to issues surrounding assessment. An expanded companion website integrates with the text to offer additional tools and examples, and readers are encouraged to develop their own teaching strategies within their own instructional models. Providing a thorough overview of the history and major issues of ESL (ELL) literacy instruction, this book will be of great interest to pre-service and in-service teachers at all levels, from kindergarten to adult learners.",English,English language--Study and teaching--Foreign speakers,Lee Gunderson,Reginald Arthur D'Silva,Dennis Murphy Odo,EBSCO,Routledge,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,F7C96C89-234E-4D60-A9B9-5C41AD50CA2F,EBSCO
FA385354-761C-4DB2-9541-C7FC6177FE32,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/FA385354-761C-4DB2-9541-C7FC6177FE32.png,CAD Fundamentals for Architecture,Computational Architecture ,"<p>Computer-aided design (CAD) is the dominant design and drawing tool used in&nbsp;architecture, and all students need to acquire basic skills in using it. This book explains the key&nbsp;CAD&nbsp;skills required to create plans, 3D models and perspectives. Detailed text and hundreds of screengrabs and visuals are used to demonstrate the various techniques and processes. 2D skills are shown using AutoCAD, SketchUp and Vectorworks, while 3D modelling and presentation techniques also include 3ds Max, Maya, Form·Z and Photoshop. The reader will learn how to simplify the software interface and tools in order to focus on the most common and useful tasks. This is an invaluable guide for all students of&nbsp;architecture.</p>",ENG,NA,"John, Elys",NA,NA,EBSCO,NA,E-Book,2013,2023.0,NA,NA,NA,NA,NA,NA,NA,EBSCO
E6D1C7C0-238B-4447-BFF5-740D607D77AC,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/E6D1C7C0-238B-4447-BFF5-740D607D77AC.png,Digital Forensics Basics: A Practical Guide Using Windows OS,Digital Forensic Analysis; Reporting,"Use this hands-on, introductory guide to understand and implement digital forensics to investigate computer crime using Windows, the most widely used operating system. This book provides you with the necessary skills to identify an intruder's footprints and to gather the necessary digital evidence in a forensically sound manner to prosecute in a court of law.Directed toward users with no experience in the digital forensics field, this book provides guidelines and best practices when conducting investigations as well as teaching you how to use a variety of tools to investigate computer crime. You will be prepared to handle problems such as law violations, industrial espionage, and use of company resources for private use. Digital Forensics Basics is written as a series of tutorials with each task demonstrating how to use a specific computer forensics tool or technique. Practical information is provided and users can read a task and then implement it directly on their devices. Some theoretical information is presented to define terms used in each technique and for users with varying IT skills. What You'll LearnAssemble computer forensics lab requirements, including workstations, tools, and moreDocument the digital crime scene, including preparing a sample chain of custody formDifferentiate between law enforcement agency and corporate investigationsGather intelligence using OSINT sourcesAcquire and analyze digital evidenceConduct in-depth forensic analysis of Windows operating systems covering Windows 10–specific feature forensicsUtilize anti-forensic techniques, including steganography, data destruction techniques, encryption, and anonymity techniques Who This Book Is For Police and other law enforcement personnel, judges (with no technical background), corporate and nonprofit management, IT specialists and computer security professionals, incident response team members, IT military and intelligence services officers, system administrators, e-business security professionals, and banking and insurance professionals",English,Digital forensic science,Nihad A. Hassan,NA,NA,EBSCO,Apress,E-Book,0,0.0,Computer security,NA,NA,NA,NA,NA,09402A64-530B-403C-AFAC-AE2D09527E97,EBSCO
2225867F-A927-4D1B-AF8D-4A2C0D59433F,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/2225867F-A927-4D1B-AF8D-4A2C0D59433F.png,"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution",Digital Public Relations,"The third edition of Social Media Strategy is now available! ISBN 9781538138175Social Media Strategy is a blueprint for the practice of marketing communications, advertising, and public relations in a digital world where the consumer has taken control. The consumer revolution is not about giving up or giving in; it is about adjusting methods to effect change, support traditional efforts, and leverage consumer influence for the good of the brand, whether it's a small business, large corporation, or nonprofit organization. The text's real-world examples and statistics make it highly accessible for students.This new and updated edition presents a fuller, integrated approach to the traditional disciplines of marketing, advertising, and public relations. Adopters of the first edition will find the original structure and approach intact with additions that take a more integrated look at social media strategy. It features a new chapter on law, ethics, and etiquette and updates on key topics such as social media careers, personal branding, storytelling, paid social media, messaging apps, live video, influencer marketing, B2B social selling, and all major social media platforms.Pedagogical features include:• social media calendars, metrics, and budgets• chapter checklists to keep statistics updated• expanded chapter previews• new case studies and glossary with more than two hundred key terms• updated online tools and resources",English,Internet advertising,Keith A. Quesenberry,NA,NA,EBSCO,Rowman & Littlefield Publishers,E-Book,0,0.0,Internet marketing,NA,NA,NA,NA,NA,28100ACD-33BA-4EB2-BA58-90F9E26C6CAD,EBSCO
A4DF98DD-A20B-4CF6-881A-34DC7762E8BF,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/A4DF98DD-A20B-4CF6-881A-34DC7762E8BF.png,Robotic Process Automation Using UiPath StudioX: A Citizen Developer’s Guide to Hyperautomation,Robotic Process Automation Developer Fundamental,"Learn about Robotic Processing Automation (RPA) and how to build bots using UiPath. This book uses hands-on examples to explain the basics of UiPath and then walks you through real-world prototypes for testing your knowledge.Organizations around the world are implementing RPA in some capacity, and there is a shortage of RPA developers in the market. Analysts predict that the RPA market size will be worth $4 Billion by 2025. With UiPath as one of the three major players in the RPA market, professionals and students can use this book to get ahead of the curve.This book helps you kick-start your automation journey with a special focus on one of the most popular RPA tools: UiPath. Robotic Process Automation using UiPath explains in detail the various features and functionalities of the RPA platform including development, debugging, and error handling.What You'll LearnCreate robots from scratch, using one of the market leaders in RPADevelop automation apps and deploy them to all the computers in your departmentBuild, test and perform enterprise automation tasks with UiPathUnderstand the key building blocks and components of UiPath Apply UiPath programming techniques to deploy robot configurationsReview email AutomationAutomate Excel and PDF interactionsWho This Book Is ForRPA developers and business users alike, bringing the power and skill set of automation to anyone interested in citizen-led development, specifically UiPath StudioX. The simple exercises and no-code platform require no prior programming or RPA knowledge to follow along with this beginner's guide.",English,Robots--Programming,Adeel Javed; Anum Sundrani,Nadia Malik,Sidney Madison Prescott,EBSCO,Apress,E-Book,0,0.0,Robotics,NA,NA,NA,NA,NA,EAB49795-6377-4B10-9976-16F5578B74E9,EBSCO
2621B905-9B6B-41A5-8A19-FEC61E81547B,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/2621B905-9B6B-41A5-8A19-FEC61E81547B.png,"Digital Theatre: The Making and Meaning of Live Mediated Performance, US & UK 1990-2020",Digital Innovations in Performing Arts,"Digital Theatre is a rich and varied art form evolving between performing bodies gathered together in shared space and the ever-expanding flexible reach of the digital technology that shapes our world. This book explores live theatre performances which incorporate video projection, animation, motion capture and triggering, telematics and multisite performance, robotics, VR, and AR. Through examples from practitioners like George Coates, the Gertrude Stein Repertory Theatre, Troika Ranch, David Saltz, Mark Reaney, The Builder's Association, and ArtGrid, a picture emerges of how and why digital technology can be used to effectively create theatre productions matching the storytelling and expressive needs of today's artists and audiences. It also examines how theatre roles such as director, actor, playwright, costumes, and set are altered, and how ideas of body, place, and community are expanded.",English,Theater--Technological innovations--Great Britain,Nadja Masura,NA,NA,EBSCO,Palgrave Macmillan,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,96366E3B-A588-4CFE-9F03-00542F96E037,EBSCO
2E5E977D-ED3A-41C0-96D6-F10ED31B18F4,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/2E5E977D-ED3A-41C0-96D6-F10ED31B18F4.png,Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,Natural Language Processing,"From news and speeches to informal chatter on social media, natural language is one of the richest and most underutilized sources of data. Not only does it come in a constant stream, always changing and adapting in context; it also contains information that is not conveyed by traditional data sources. The key to unlocking natural language is through the creative application of text analytics. This practical book presents a data scientist's approach to building language-aware products with applied machine learning.You'll learn robust, repeatable, and scalable techniques for text analysis with Python, including contextual and linguistic feature engineering, vectorization, classification, topic modeling, entity resolution, graph analysis, and visual steering. By the end of the book, you'll be equipped with practical methods to solve any number of complex real-world problems.Preprocess and vectorize text into high-dimensional feature representationsPerform document classification and topic modelingSteer the model selection process with visual diagnosticsExtract key phrases, named entities, and graph structures to reason about data in textBuild a dialog framework to enable chatbots and language-driven interactionUse Spark to scale processing power and neural networks to scale model complexity",English,Python (Computer program language),"Bengfort, Benjamin","Bilbro, Rebecca","Ojeda, Tony",EBSCO,O'Reilly Media,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,20F3CD02-DD4C-4194-B440-88DCEB7D02DC,EBSCO
8F8E2766-9874-430C-87C0-6E9DE5F87240,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/8F8E2766-9874-430C-87C0-6E9DE5F87240.png,Identity Designed: The Definitive Guide to Visual Branding,Visual Identity,"Ideal for students of design, independent designers, and entrepreneurs who want to expand their understanding of effective design in business, Identity Designed is the definitive guide to visual branding. Written by best-selling writer and renowned designer David Airey, Identity Designed formalizes the process and the benefits of brand identity design and includes a substantial collection of high-caliber projects from a variety of the world's most talented design studios. You'll see the history and importance of branding, a contemporary assessment of best practices, and how there's always more than one way to exceed client expectations. You'll also learn a range of methods for conducting research, defining strategy, generating ideas, developing touchpoints, implementing style guides, and futureproofing your designs. Each identity case study is followed by a recap of key points. The book includes projects by Lantern, Base, Pharus, OCD, Rice Creative, Foreign Policy, Underline Studio, Fedoriv, Freytag Anderson, Bedow, Robot Food, Together Design, Believe in, Jack Renwick Studio, ico Design, and Lundgren+Lindqvist. Identity Designed is a must-have, not only for designers, but also for entrepreneurs who want to improve their work with a greater understanding of how good design is good business.",English,Branding (Marketing),David Airey,NA,NA,EBSCO,Rockport Publishers,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,08900A9D-BFA6-4C85-96B6-7D577BC4ECBC,EBSCO
B8AF05F1-3072-423C-8134-A564045F74EF,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/B8AF05F1-3072-423C-8134-A564045F74EF.png,A Course In Error-Correcting Codes: Second Edition,Coding Theory,"This book, updated and enlarged for the second edition, is written as a text for a course aimed at 3rd or 4th year students. Only some familiarity with elementary linear algebra and probability is directly assumed, but some maturity is required. The students may specialize in discrete mathematics, computer science, or communication engineering. The book is also a suitable introduction to coding theory for researchers from related fields or for professionals who want to supplement their theoretical basis. The book gives the coding basics for working on projects in any of the above areas, but material specific to one of these fields has not been included. The chapters cover the codes and decoding methods that are currently of most interest in research, development, and application. They give a relatively brief presentation of the essential results, emphasizing the interrelations between different methods and proofs of all important results. A sequence of problems at the end of each chapter serves to review the results and give the student an appreciation of the concepts. In addition, some problems and suggestions for projects indicate direction for further work. The presentation encourages the use of programming tools for studying codes, implementing decoding methods, and simulating performance. Specific examples of programming exercises are provided on the book's home page.",English,Error-correcting codes (Information theory),JRN JUSTESEN,TOM HHOLDT,NA,EBSCO,"European Mathematical Society Publishing House, Zuerich, Switzerland",NA,0,0.0,NA,NA,NA,NA,NA,NA,56DD9CAD-77D6-4ACC-83FF-DB095B33FA7F,EBSCO
5F8B46DC-7B7A-4F61-8362-AB92AD24D0DC,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/5F8B46DC-7B7A-4F61-8362-AB92AD24D0DC.png,"School Psychology for the 21st Century, Second Edition: Foundations and Practices", Psychology,"A leading introductory text, this authoritative volume comprehensively describes the school psychologist's role in promoting positive academic, behavioral, and emotional outcomes for all students. The book emphasizes a problem-solving-based, data-driven approach to practice in today's diverse schools. It grounds the reader in the concepts and tools needed to become a competent, ethical practitioner; implement and evaluate multi-tiered interventions; and facilitate systems-level change. Useful pedagogical features include illustrative vignettes and end-of-chapter discussion questions and activities. New to This Edition•Incorporates up-to-date research findings and professional standards.•Expanded coverage of response to intervention, cultural and linguistic diversity issues, and evidence-based practice in mental health.•Chapter on legal issues includes expanded coverage of IDEIA and other recent federal mandates.",English,School psychology--United States,Kenneth W. Merrell,Ruth A. Ervin,Gretchen Gimpel Peacock,EBSCO,The Guilford Press,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,445F469E-9794-4D02-BB71-DC0F4AD666EE,EBSCO
